ITEM_CODE,ITEM_NAME,DEPT,VALUE
02396,"BEL  COLA DRINK 350ML  16",SUPERMARKET,23.73
00377,"CERES RED GRAPE JUICE 200ML 24",SUPERMARKET,811.44
01551,"RAID MIK INSECTICIDE SPRAY 300ML  24 26339",SUPERMARKET,389.9
06483,"ARDO  MIXED VEGETABLES 400G 15",SUPERMARKET,27.99
06576,"BRAIN BOOSTER ACTIVITIES 610 EB0492",STATIONERY,262.9
06582,"INFLUENTIAL PEOPLE AROUND THE WORLD BOOK EB0494",STATIONERY,427.9
04641,"SERVING BOWL MELAMINE 8 INCHES ZHN C09885","HOUSEWARE & KITCHENWARE",12.9
08339,"EMBORG PEAS  CARROTS 900G 12",SUPERMARKET,171.98
08818,"WC NET INTENSE GEL  OCEAN FRESH   750ML  12",SUPERMARKET,647.88
08833,"FAULTLESS SPRAY STARCH MTLAVENDER 567G 12",SUPERMARKET,419.93
09134,"TASTY TOM TOMATO PASTE 2200G 6",SUPERMARKET,497.94
09226,"ALWAYS EXTRA LONG ULTRA THIN 7PADS X 16",SUPERMARKET,1391.42
100530,"DINNER PLATE MELAMINE 8 INCHES ZHN FP9108","HOUSEWARE & KITCHENWARE",9.9
100959,"SHISHA W12M PIPE HKM1 MIX COLOR YWU","HOUSEWARE & KITCHENWARE",99
102968,"BELAIR AIR FRESHENER VANILLA 150ML  36",SUPERMARKET,203.83
102330,"YOMI YOGHURT ORIGINAL WITH WHEAT  2L 1",SUPERMARKET,225.98
102518,"MOMEASY WIDE NECK FEEDING BOTTLE 8OZ WHANDLE","TOYS AND ENTERTAINMENT",117
102823,"AQUALIS EXFOLIATING BEAUTY SOAP 120G   60",SUPERMARKET,42.45
105244,"MARILAN WAFERS  LIME 115G  24",SUPERMARKET,142.66
107239,"BAUDUCCO COOKIES MAXI CHOCOLATE BASE 96G 42",SUPERMARKET,1049.3
106823,"SHINE VINYL GLOVES MEDIUM 100PCS  10",SUPERMARKET,275.96
107790,"GREENWORLD ECO CLEAN AFRESHNER DELLILLY500ML 12",SUPERMARKET,404.91
108983,"FESTIVA  EVAPORATED MILK 170G 48",SUPERMARKET,232.19
109329,"ROMAR AUTOM AIRFRESH REFILL ANTI TOBACCO 250ML  8",SUPERMARKET,97.98
119307,"REXONA ROLL ON  BIORYTHM 50ML  6",SUPERMARKET,233.91
119338,"KERRYGOLD CHEDDAR CHEESE RED SLICES 150G  10",SUPERMARKET,45.99
119593,"FARAGELLO GOLD  GUAVA NECTAR BOTTLE 250ML 24",SUPERMARKET,683.43
117188,"DOMS MY 1ST PENCIL KIT WERASERSHARPNERRULE 7140",STATIONERY,9.8
117208,"DOMS CRAYON SET 14PCS PLASTIC IN TIN 7120",STATIONERY,62.7
118560,"AIRWICK FRESH N UP FRESH WATER 375ML  12",SUPERMARKET,125.97
118732,"DEEP SOUP PLATE 8 IMPERIAL BLUE PRIMROSE C2115318","HOUSEWARE & KITCHENWARE",9.8
110232,"HEX DUMBBELL HD20KG","SPORTS & FITNESS",2916
112793,"DOVE SPRAY  INVISIBLE CARE 250ML 24",SUPERMARKET,44.99
114714,"LETS SPELL 5 LETTER6 LETTER WORDS BOOK EB  844",STATIONERY,90.3
110732,"LA VONCE TOMATO MIX SACHET 400G  24",SUPERMARKET,134.9
115165,"VOLTPLUS EXTENSION SOCKET 3WAY 2M VPEC3W2M1S","ELECTRICAL APPLIANCES",238
111376,"ENCHANTED FAIRY TALES BOOK W10TITLES ED770",STATIONERY,1112.4
111397,"LEVEL ACTIVITY BOOK 7 W5TITLES ED790",STATIONERY,1220.1
116622,"SAIDA MAJOR FRAISE STRAWBERRY BISCUIT 160G  20",SUPERMARKET,311.74
111535,"BOWL 3PCS SET GLASS TW6PE","HOUSEWARE & KITCHENWARE",792
124936,"DARINA ORANGE 750G  20",SUPERMARKET,844.87
124965,"DARINA LEMONADE 750G  20",SUPERMARKET,909.86
128782,"BALL PEN INKGLIDE 07MM LUXOR 5PC BLU 166025CELLO",STATIONERY,118.8
127342,"EXETER CHICKEN HOT DOG 400G 12",SUPERMARKET,927.68
128810,"STATIONARY SET STUDENTS 12YR LUXOR 6PCS 13016BC",STATIONERY,19.9
125151,"AHMAD TEA SLIM LEMON MATEGREENTEA 30G 20X15G 6",SUPERMARKET,44.49
125265,"ROMAR FABRIC SOFTENER CONC BABY POWDER  2L  6",SUPERMARKET,509.94
127739,"PAPER CUP DOLLIES MIX COLOUR 1000PCS 95CM YWU","HOUSEWARE & KITCHENWARE",267.3
127758,"PAPER PACK DOLLIES 100PCS 215CM YWU","HOUSEWARE & KITCHENWARE",4.9
128926,"PAPER PUNCH NOPERFO30 170752ELP",STATIONERY,948
125283,"DZIRE TV BRACKET WTILT 32 65 TB3265TP1103","ELECTRONICS & TELECOM",149
125486,"TUMBLER HOLDER ZINC ALLOY DOUBLE 50752 RK","HOUSEWARE & KITCHENWARE",9.9
126800,"APPLE ROYAL GALA KG",SUPERMARKET,134.98065
120385,"BELPAK TABLE NAPKIN 1X15 PKTS  15",SUPERMARKET,109.35
122224,"PARIDOX SKIN ACTIVE BODY WASH 450ML  20",SUPERMARKET,489.86
122488,"DIVINE DINNER SET 12PCS EMPEROR C6168312","HOUSEWARE & KITCHENWARE",99
124073,"CAKE CAPSULE PAPER 90PC BURGPWDERBLU MINI BG352","HOUSEWARE & KITCHENWARE",362.9
121315,"VARTA BATTERY LONGLIFE POWER AAA BLISTER 2","ELECTRICAL APPLIANCES",684
122734,"UNIMAX TRIO BALLPEN GREEN 10MM FBTIOGN23",STATIONERY,147.63
134823,"PAMPER OCEAN FISH 85G  36",SUPERMARKET,575.64
136136,"PEAR IMPORT FRESH PACK",SUPERMARKET,179.96
136139,"WATERMELON  KG",SUPERMARKET,575.95555
134096,"PRIVATE MAXI  NORMAL 8X18",SUPERMARKET,91.92
136715,"PHILIPS BATTERY M ULTRA ALKALINE 1X24 C LR14","ELECTRICAL APPLIANCES",49
134148,"MY FIRST FUN ACTIVITY BOOKS 3",STATIONERY,1191.3
137006,"PEAK GREEN EVAPORATED TIN MILK 390G  24",SUPERMARKET,779.61
135347,"PERLA LUXURY MOIST SOAP GLYCERINE WHITE  100G  36",SUPERMARKET,16.47
138808,"BUMBLE BABY WET WIPES 100 PCS MEDITERRANEAN  12",SUPERMARKET,80.97
138921,"GEISHA ROSE  HONEY SOAP 250G  36",SUPERMARKET,797.58
134397,"PLEDGE ENHANCING POLISH SPRAY LAVENDER 250ML 6",SUPERMARKET,49.99
135884,"FABER CASTELL TEXTLINER YELLOW HIGHLIGHTER 154807",STATIONERY,69.9
135888,"FABER CASTELL TEXTLINER BLUE HIGHLIGHTER 154851",STATIONERY,48.93
135894,"FABER CASTELL COLOUR PENCIL TRIANGULAR 12P 118012",STATIONERY,240.9
134597,"BEENO SHAPES  STEAK FLAVOUR 120GMS  20",SUPERMARKET,527.84
13936,"CADBURY MILK CARAMEL 120G 16",SUPERMARKET,42.99
131070,"ROMAR REFILL AUTOM AIR FRESH TROP FRESH 250ML  6",SUPERMARKET,489.9
133190,"NEAT BLEACH 5L  4",SUPERMARKET,289.47
132705,"DZIRE HOT PLATE SINGLE 1000W HPSS10006122A","ELECTRICAL APPLIANCES",129
130132,"AWAKE MELCOM WATER 500ML  16",SUPERMARKET,11.94
130193,"TOREN CLASSIC COMPOUND CHOCOLATE WHITE 52G 144",SUPERMARKET,17.96
131648,"CAKE EMBOSSER B99304","HOUSEWARE & KITCHENWARE",5.7
131796,"APPLES TOP RED  KG",SUPERMARKET,-47.99
14654,"SABA DETERGENT POWDER 400 G   12",SUPERMARKET,130.41
148542,"VASE GOLD SILVER MIX","HOME DECOR & TEXTILES",65
148547,"PERLA MINERAL WATER 750ML 16",SUPERMARKET,46.54
148603,"FLOWER POT MEDIUM  GOLDSLIVER","HOME DECOR & TEXTILES",466.2
147103,"DOVE MENCARE ROLLON EXTRA FRESH 50ML  6",SUPERMARKET,597.77
148799,"HAPPY BIRTHDAY BANNER MIX 2COLOR","TOYS AND ENTERTAINMENT",150
139871,"MRS BECTORS SHORTBREAD FINGERS 85GM 48",SUPERMARKET,39.96
139876,"MRS BECTORS CREAM VANILLA 92GM 24",SUPERMARKET,6.99
139906,"CARROT LOCALTFM BIG PACK",SUPERMARKET,188.91
144907,"IRONING BOARD BLANCA 38X120CM 2053","HOUSEWARE & KITCHENWARE",-798
14317,"MARILAN  WAFER VANILLA BISCUIT 115G  24",SUPERMARKET,40.76
145734,"5 STAR COCKTAIL KIDS JUICE 200ML 20",SUPERMARKET,5.98
157639,"BOWL 3PCS SET CERAMIC RED T86002","HOUSEWARE & KITCHENWARE",792
155802,"RAZNUTS COATED PEANUTS WITH CHOCOLATE 120G",SUPERMARKET,313.39
154901,"WATER BOTTLE INSULATED PP 900 PURO ICETRON","HOUSEWARE & KITCHENWARE",59.8
154099,"BOWL 3PCS SET WLID CERAMIC DESIGNER T137013","HOUSEWARE & KITCHENWARE",623
157346,"ZEST MANGONADE JUICE DRINK 300ML 10",SUPERMARKET,27.98
157454,"WALL CLOCK 16 406X406X8CM INF6721","HOME DECOR & TEXTILES",139
155667,"VASELINE DEO SPRAY ACTIVE DRY 250ML 6",SUPERMARKET,41.99
149292,"CERES NECTAR MANGOORANGE JUICE DRINK  200ML 24",SUPERMARKET,29.97
151874,"CORNER RACK CHROME 5TIER 350X350X1500 CJC1317",FURNITURE,1070
151875,"RACK WIRE 5TIER BLACK 300X300X1121 CJC1623",FURNITURE,535
152114,"SHORT HAND NOTE BOOK ABB",STATIONERY,8.9
150543,"KANGARO STAPLE REMOVER SRL45",STATIONERY,171
152144,"SINARLINE JUMBO PAD BLOCK COLOR WGLUE VISTA",STATIONERY,115.96
152161,"FILE TRAY MESH 3TIER ABB",STATIONERY,159
152172,"CLIP HOLDING FROG MKR197351","TOYS AND ENTERTAINMENT",29.4
152190,"DESTELLO UPHOLSTERY  CARPETS CLEANER 500ML 6",SUPERMARKET,215.96
162826,"CURTAIN JACQUARD 54X90 BLACK 272","HOME DECOR & TEXTILES",1533
164124,"HARIBO HAPPY COLA 100G  30",SUPERMARKET,21.99
164193,"ENAPA MACKREL IN TOMATO SAUCE EASY OPEN 200G  48",SUPERMARKET,792.39
165121,"UNIBIC ORANGE MILK COOKIES 60GMS  96",SUPERMARKET,4.99
160811,"WINDOW SHADE BLACKOUT ROLLER 45WHITE200X200CM","HOME DECOR & TEXTILES",1836
161863,"DECORATION STONE 350G","HOME DECOR & TEXTILES",8.9
160830,"WINDOW SHADE BLACKOUT ROLLER 452120X180CM","HOME DECOR & TEXTILES",2232
159745,"MUNCHEE GINGER BISCUITS 65G  48",SUPERMARKET,229.92
159786,"DIARY 100SHEET A5 80G 145X21",STATIONERY,25.9
159853,"STICKY NOTE 100SHEETS 76X51MM",STATIONERY,78
159888,"NOTEBOOK 48SHEETS 70GSM 16K",STATIONERY,23.8
159995,"SPICE SHAKER 2PCS SET 95CC GL SSPD 122020582","HOUSEWARE & KITCHENWARE",640.7
160156,"MUSICAL MAT PEVA 86X52CM DW8024","TOYS AND ENTERTAINMENT",297
162599,"FOOTBALL PREMIER 14018","SPORTS & FITNESS",378
160308,"PYREX CASSEROLE OVAL GLASS 41L 459A0007643","HOUSEWARE & KITCHENWARE",438
175480,"FRESH VEGGIES IRISH POTATO  TAG",SUPERMARKET,-.2
172960,"ARIEL HIGH STUD FLORAL 35KG 4",SUPERMARKET,561.98
174451,"GIFT WRAP PAPER 70X100 BZZ0002M","TOYS AND ENTERTAINMENT",6.9
171643,"KALYON WET WIPES LAVANDER 100WIPES 12",SUPERMARKET,143.94
172645,"COFRUTOS SUGARFREE APPLE PACK6X4 200ML  24",SUPERMARKET,7.99
