SHOP_CODE,ITEM_CODE,ITEM_NAME,AUDIT_QTY,ERP_QTY,DEPT,PRICE,DIFF,"DIFF VALUE"
LCC,168003,"FILLED CUSHION P VELVET 45X45CM WHITE DC242",10,9,"HOME DECOR & TEXTILES",129,1,129
LCC,179981,"WINDOW CURTAIN YD PL GROMT SLBL 54X90 24EHM002",16,16,"HOME DECOR & TEXTILES",169,0,0
LCC,179508,"AKAI SOUND BAR 120W SB004A012",1,1,"ELECTRONICS & TELECOM",789,0,0
LCC,176343,"PURE JAR 500ML FRC Q3346",1,0,"HOUSEWARE & KITCHENWARE",79,1,79
LCC,187097,"WATER BOTTLE 800ML PLASTIC 2475 YWU",24,24,"HOUSEWARE & KITCHENWARE",34.9,0,0
LCC,183312,"PICNIC SET 31PCS PLASTIC BG712",6,6,"HOUSEWARE & KITCHENWARE",89,0,0
LCC,193431,"INFLUENCERS WHO CHANGED THE WORLD 22X28CM",7,7,STATIONERY,47.99,0,0
LCC,20639,"FARAGELLO APPLE NECTAR TETRA PACK 1L 12 BLUE",74,76,SUPERMARKET,24.99,-2,-49.98
LCC,203991,"TRAINERS PLANTAIN CHIPS KELEWELE KRUNCH 75G 24",9,11,SUPERMARKET,18.99,-2,-37.98
LCC,96188,"PARIDOX ALATA SAMINA GEL SKIN TONER 500ML 20",27,20,SUPERMARKET,44.99,7,314.93
LCC,100846,"NOTE BOOK WBALL PEN 4DESIGN MIX",10,10,STATIONERY,19.99,0,0
LCC,100969,"CURTAIN POLYESTER 52X84  WHANGER DRTH194",11,7,"HOME DECOR & TEXTILES",129,4,516
LCC,125363,"ACTIVITY BOOK NAIL ART PRETTY FACEHAIR STYLE",15,15,STATIONERY,24.9,0,0
LCC,129587,"FARAGELLO GOLD APPLE NECTAR TETRAPACK 250ML  27",42,42,SUPERMARKET,7.99,0,0
LCC,145889,"MYDIBEL SPICY WEDGES  25KG 4",1,0,SUPERMARKET,139.99,1,139.99
LCC,149798,"KIDS PIANO ANIMAL DESIGN AK597647",9,9,"TOYS AND ENTERTAINMENT",149,0,0
LCC,165464,"BREF WC BLOCK TRIO POWERACTIVE OCEAN  9",4,4,SUPERMARKET,86.99,0,0
LCC,162310,"BOTTLE OPENER SS WOOD HANDLE ILC MC73054 RJK",9,9,"HOUSEWARE & KITCHENWARE",9.9,0,0
LCC,158737,"CARPET 140X200CM DKGREYGOLD TIMMY DS14X20M",1,2,"HOME DECOR & TEXTILES",899,-1,-899
