"ITEM MASTER SYNC SUMMARY"
"Shop Code",MSS
"Stock Date",2026-06-01
"Audit Type",SST
"Scanning Mode",Itemwise
"Total Items",53
"Total Qty",0
"Total Value","GH₵11,642.48"

"Item Code","Item Name",Barcode,Image,Price,Dept,"Shop Code","Curr Stock","CH PI","CH Status","VC Group","VC Subgroup","VC Unit","VC Item Code","VC Shop Code","Stock Qyt"
164703,"HALLAB MK PLAST PLASTIC ROUND PLATES 36CM",164703,N/A,"GHS 12.99",6,MSS,0,N,N,380,1892,PCS,164703,MSS,0
164704,"HALLAB PLAST PLATE RAYER GOLD 1KG",164704,N/A,"GHS 8.99",6,MSS,0,N,N,380,1892,PCS,164704,MSS,0
164705,"HALLAB MK PLAST PLATE RAYER CLEAR 1KG",164705,N/A,"GHS 8.99",6,MSS,0,N,N,380,1892,PCS,164705,MSS,0
164706,"HALLAB MK PLAST PLATE RAYER GOLD 2KG",164706,N/A,"GHS 15.99",6,MSS,0,N,N,380,1892,"2 Kg",164706,MSS,0
164707,"HALLAB MK PLAST RAYER BLACK 2KG",164707,N/A,"GHS 13.99",6,MSS,0,N,N,380,1892,PCS,164707,MSS,0
164709,"HALLAB MK PLAST PLATE RAYER CLEAR 3KG",164709,N/A,"GHS 21.99",6,MSS,0,N,N,380,1892,PCS,164709,MSS,0
176199,"MK PLAST BOX ICE CREAM BOULE 1KG",176199,N/A,"GHS 11.99",6,MSS,0,N,N,380,1892,PCS,176199,MSS,0
176200,"MK PLAST COVER ICE CREAM BOULE 1KG",176200,N/A,"GHS 11.99",6,MSS,0,N,N,380,1892,PCS,176200,MSS,0
176202,"MK PLAST SIROP BOTTLE 100GR + COVER",176202,N/A,"GHS 6.99",6,MSS,0,N,N,380,1892,PCS,176202,MSS,0
183457,"HALLAB CAKE PACKAGING 12 * 12 * 9",183457,N/A,"GHS 5.49",6,MSS,0,N,N,380,1892,PCS,183457,MSS,0
183458,"HALLAB CAKE PACKAGING 14 * 14 * 9",183458,N/A,"GHS 6.99",6,MSS,0,N,N,380,1892,PCS,183458,MSS,0
183459,"HALLAB CAKE PACKAGING 20 * 20 * 12",183459,N/A,"GHS 13.99",6,MSS,0,N,N,380,1892,PCS,183459,MSS,0
183460,"HALLAB CAKE PACKAGING 25 * 25 * 25",183460,N/A,"GHS 16.99",6,MSS,0,N,N,380,1892,PCS,183460,MSS,0
183461,"HALLAB CAKE PACKAGING 36 * 36 * 15",183461,N/A,"GHS 19.99",6,MSS,0,N,N,380,1892,PCS,183461,MSS,0
193178,"HALLAB PACKAGING GOURMET WRAPPING PAPER (1KG)",193178,N/A,"GHS 119.99",6,MSS,0,N,N,380,1892,KGS,193178,MSS,0
193179,"HALLAB PACKAGING GOURMET BAG 28*28 PCS",193179,N/A,"GHS 19.49",6,MSS,0,N,N,380,1892,PCS,193179,MSS,0
