SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
KAS,04105,"HARIBO SUPER MIX 140G154G   12",29.99,12,SUPERMARKET
ADB,04116,"SPARLETTA QUININE TONIC 350ML 12",5.99,1,SUPERMARKET
KAS,04116,"SPARLETTA QUININE TONIC 350ML 12",5.99,-21,SUPERMARKET
SPN,04162,"ARIZONA ICED TEA LEMON FLAVOUR 650ML 24",23.99,68,SUPERMARKET
M03,04193,"BUTCHERS DINNERS CHICKENTURKEY IN JELLY 4X100G 8",74.99,3,SUPERMARKET
ADB,04229,"HARIBO HAPPY COLA BOTTLES 140G  12",29.99,19,SUPERMARKET
KCS,04229,"HARIBO HAPPY COLA BOTTLES 140G  12",29.99,6,SUPERMARKET
KAS,04240,"SHARWOOD BLACK BEANRED PEPPER 425G  6",67.99,1,SUPERMARKET
M03,04252,"UNCLE BENS CHILLI HOT SAUCE 450G  6",64.99,2,SUPERMARKET
LFS,04260,"SAMSUNG CASE NOTE 8 BACK",44,5,"ELECTRONICS & TELECOM"
MSS,04845,"POT NOODLE CHOW MEIN 90G 12",29.99,24,SUPERMARKET
KS7,04871,"CAR SCENT DEO GROUP 48",51.99,30,SUPERMARKET
SPN,05112,"INDOMIE SUPER PACK ONION CHICKEN 120G 44",8.29,431,SUPERMARKET
KAS,05144,"AXE DEO SPRAY MARINE 150ML 8240361",37.99,4,SUPERMARKET
ACH,05145,"PARIDOX ALATA SAMINA BSGEL COCOA  HARD 500ML 20",43.99,21,SUPERMARKET
KAS,05200,"DOVE ROLLON INVISIBLE DRY 50ML 6",23.99,4,SUPERMARKET
LFS,05207,"KENCO RICH JAR COFFEE 200G  6",239.99,8,SUPERMARKET
MSS,05218,"GLENMORANGIE ORIGINAL WHISKY 10YRS  1L 1",979.99,4,SUPERMARKET
SPN,05528,"BLESSED CHILD CEREALPLUS WEANIMIX BOTTLE 600G 12",44.49,10,SUPERMARKET
FAR,05529,"BLESSED CHILD RICEMIX BOTTLE 600G 12",44.49,10,SUPERMARKET
ACH,06432,"PINK COCKTAIL SPARKLING WINE 750 ML 12",49.99,20,SUPERMARKET
ACH,06483,"ARDO  MIXED VEGETABLES 400G 15",27.99,18,SUPERMARKET
HAA,06507,"MEANNAN GROUNDED PEPPER 80G 24",18.99,4,SUPERMARKET
ADB,06509,"MEANNAN GROUNDED PEPPER 200G 12",32.99,13,SUPERMARKET
TMP,06510,"MEANNAN GROUNDED GINGER 80G 24",22.99,30,SUPERMARKET
MSS,06510,"MEANNAN GROUNDED GINGER 80G 24",22.99,15,SUPERMARKET
HAA,06573,"MENTAL MATHS  WORK BOOK CLASS VI EB0115",20.9,3,STATIONERY
SPN,06587,"COLOURS BOOK FOR CHILDREN EB0433",5.9,121,STATIONERY
FAR,06588,"CARTOON COLOURING BOOK CHILDREN PART 25 EB0429",6.99,112,STATIONERY
FAR,06934,"DORITOS NACHO CHEESE DIPS 280G  6",54.99,9,SUPERMARKET
M05,06968,"KASAPREKO LIME CORDIAL 750ML 12",29.99,11,SUPERMARKET
MDN,06969,"KASAPREKO TONIC WINE 750ML 12",29.99,17,SUPERMARKET
ACH,06969,"KASAPREKO TONIC WINE 750ML 12",29.99,21,SUPERMARKET
FAR,06975,"MAGGI SHRIMP TAB  6010G 24",41.99,29,SUPERMARKET
TMP,07013,"YAZZ WASHING POWDER 500G 12",18.99,21,SUPERMARKET
HAA,07013,"YAZZ WASHING POWDER 500G 12",18.99,23,SUPERMARKET
ACH,07014,"YAZZ WASHING POWDER 1KG 10",39.99,33,SUPERMARKET
FAR,07018,"YAZZ BABY DIAPERS LARGE 10",26.99,12,SUPERMARKET
HAA,07020,"YAZZ SANITARY PAD HEAVY FLOW PINK 24",17.99,18,SUPERMARKET
