"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
21997,"STARCAFE INSTANT COFFE POWDER 50GR X 24",21.49,Upload_U,uploaded_excel,-20,"22-JUN-26 08.56.49.431000 AM",SUPERMARKET,BEVERAGES,COFFEE
54412,"BEL-AQUA NATURAL MINERAL WATER  750ML  15",2.49,Upload_U,uploaded_excel,-20,"22-JUN-26 08.56.49.431000 AM",SUPERMARKET,BEVERAGES,"MINERAL WATER"
21997,"STARCAFE INSTANT COFFE POWDER 50GR X 24",21.49,"Zone: 1","Audit Name: DAVID",100,"22-JUN-26 08.51.19.318000 AM",SUPERMARKET,BEVERAGES,COFFEE
54412,"BEL-AQUA NATURAL MINERAL WATER  750ML  15",2.49,"Zone: 1","Audit Name: DAVID",100,"22-JUN-26 08.56.01.893000 AM",SUPERMARKET,BEVERAGES,"MINERAL WATER"
