SHOP_CODE,ITEM_CODE,AUDIT_QTY,GROUP,SUB-GROUP
LFS,00359,0,"FOOD CUPBOARD","CANNED FOOD"
LFS,00362,0,"FOOD CUPBOARD","CANNED FOOD"
LFS,00363,0,"FOOD CUPBOARD","CANNED FOOD"
LFS,00366,0,"FOOD CUPBOARD","CANNED FOOD"
LFS,00376,0,BEVERAGES,JUICE
LFS,00377,0,BEVERAGES,JUICE
LFS,00380,0,BEVERAGES,JUICE
LFS,00383,0,"HOME AND PERSONAL CARE",FRESHENERS
LFS,00869,0,BEVERAGES,"DRINKING POWDERS"
LFS,02224,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
LFS,02236,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
LFS,02250,0,"FOOD CUPBOARD",BISCUITS
LFS,02252,0,"FOOD CUPBOARD",BISCUITS
LFS,02258,0,"FOOD CUPBOARD",BISCUITS
LFS,02259,0,BAKERY,"TARTS AND PIES"
LFS,02264,0,"FOOD CUPBOARD",BISCUITS
LFS,02266,0,BEVERAGES,COFFEE
LFS,02267,0,BEVERAGES,COFFEE
LFS,02268,0,BEVERAGES,COFFEE
LFS,02281,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,02387,0,"FOOD CUPBOARD",BISCUITS
LFS,02388,0,"FOOD CUPBOARD",BISCUITS
LFS,02390,0,"FOOD CUPBOARD",SNACKS
LFS,02391,0,"FOOD CUPBOARD",SNACKS
LFS,02397,0,BEVERAGES,DRINKS
LFS,02413,0,"HOME AND PERSONAL CARE","PET CARE"
LFS,02415,0,"HOME AND PERSONAL CARE","PET CARE"
LFS,02572,0,BEVERAGES,JUICE
LFS,03062,0,"FOOD CUPBOARD","NOODLES AND SOUP"
LFS,03076,3,"FOOD CUPBOARD","BREAKFAST CEREALS"
LFS,03077,0,"FOOD CUPBOARD","BREAKFAST CEREALS"
LFS,03459,0,"HOME AND PERSONAL CARE",FRAGRANCES
LFS,03463,0,"BEVERAGES ALCOHOLIC",WHISKEY
LFS,03471,0,BEVERAGES,DRINKS
LFS,03473,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
LFS,03483,0,BEVERAGES,JUICE
LFS,00940,0,"BEVERAGES ALCOHOLIC",LIQUER
LFS,01551,0,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
LFS,01566,0,"BEVERAGES ALCOHOLIC",WINES
LFS,01607,0,"FOOD CUPBOARD","SPICES AND HERBS"
LFS,01609,0,"FOOD CUPBOARD","SPICES AND HERBS"
LFS,01751,0,"FOOD CUPBOARD",BISCUITS
LFS,01853,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
LFS,02221,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
LFS,00049,0,BEVERAGES,DRINKS
LFS,00050,0,BEVERAGES,DRINKS
LFS,00204,0,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
LFS,00313,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,00315,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,00323,0,BEVERAGES,DRINKS
LFS,00338,0,"FOOD CUPBOARD",SNACKS
LFS,04237,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,04240,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,04252,0,"FOOD CUPBOARD","PEPPER SAUCE"
LFS,04815,0,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
LFS,04816,0,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
LFS,04817,0,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
LFS,04825,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
LFS,04829,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
LFS,04843,0,"FOOD CUPBOARD",SNACKS
LFS,04846,0,"FOOD CUPBOARD",SNACKS
LFS,04871,0,"HOME AND PERSONAL CARE",FRESHENERS
LFS,04949,0,"HOME AND PERSONAL CARE",DISPOSABLE
LFS,05112,0,"FOOD CUPBOARD","NOODLES AND SOUP"
LFS,03484,0,BEVERAGES,JUICE
LFS,03486,0,BEVERAGES,JUICE
LFS,03488,0,BEVERAGES,JUICE
LFS,03645,0,"FOOD CUPBOARD","MILK AND CREAMERS"
LFS,03659,0,"FOOD CUPBOARD",CONFECTIONERY
LFS,03734,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
LFS,03766,0,"FOOD CUPBOARD",FLOURS
LFS,03809,0,"FOOD CUPBOARD",CONFECTIONERY
LFS,03825,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,03826,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
LFS,03883,0,"FOOD CUPBOARD",BISCUITS
LFS,03887,0,"FOOD CUPBOARD",BISCUITS
LFS,03892,0,"FOOD CUPBOARD",CONFECTIONERY
LFS,03900,0,"FOOD CUPBOARD",CONFECTIONERY
LFS,03901,0,BEVERAGES,TEA
