"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
02388,"PICCADILLY GEM FAMILLY BISCUITS 1X4 900G  1",70.99,20,ADMIN,50,"19-JUN-26 02.58.31.753000 PM",SUPERMARKET,"FOOD CUPBOARD",BISCUITS
02388,"PICCADILLY GEM FAMILLY BISCUITS 1X4 900G  1",70.99,Recount_U,ADMIN,-30,"19-JUN-26 02.59.50.699000 PM",SUPERMARKET,"FOOD CUPBOARD",BISCUITS
102192,"PLATINUM SUNFLOWER OIL 900ML  15",44.99,Upload_U,uploaded_excel,20,"19-JUN-26 02.55.13.322000 PM",SUPERMARKET,"FOOD CUPBOARD","EDIBLE OILS AND GHEE"
01757,"BLESSED CHILD CEREALPLUS WEANIMIX 400G 24",22.49,20,ADMIN,50,"19-JUN-26 02.51.15.221000 PM",SUPERMARKET,"FOOD CUPBOARD","BREAKFAST CEREALS"
D997,"MALTA GUINNESS CAN 330ML 24",12.99,873,ADMIN,100,"19-JUN-26 03.09.23.583000 PM",SUPERMARKET,BEVERAGES,DRINKS
D997,"MALTA GUINNESS CAN 330ML 24",12.99,Recount_U,ADMIN,100,"19-JUN-26 03.28.54.886000 PM",SUPERMARKET,BEVERAGES,DRINKS
01757,"BLESSED CHILD CEREALPLUS WEANIMIX 400G 24",22.49,Recount_U,ADMIN,-30,"19-JUN-26 02.53.17.156000 PM",SUPERMARKET,"FOOD CUPBOARD","BREAKFAST CEREALS"
