"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
91551,"COLGATE MOUTH WASH PLAX PEPPERMINT 500ML 12",82.99,100,SUKHEN,3,"16-JUN-26 04.54.54.605000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","ORAL CARE"
83660,"TOP CHOCO PURE COCOA POWDER  200G 12",49.99,GH,FH,5,"16-JUN-26 04.56.37.606000 PM",SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
83660,"TOP CHOCO PURE COCOA POWDER  200G 12",49.99,12,COLLINS,9,"16-JUN-26 04.48.41.469000 PM",SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
86785,"SCOURER 5PCS SET YWU",6.9,GH,FH,25,"16-JUN-26 04.51.43.325000 PM","HOUSEWARE & KITCHENWARE","HOME HYGIENE","BROOM BRUSHES DUSTPANS"
89587,"AKAI LED LIGHT RECHARGEABLESMD  LS005RA-600/LS025A",269,GH,FH,15,"16-JUN-26 05.12.44.110000 PM","ELECTRICAL APPLIANCES",LIGHTING/LAMPS,"TORCH/ LANTERN"
83786,"BEKO WASHING MACHINE FL 7KG SILVER BAW 385",8749,GH,FH,1,"16-JUN-26 05.03.05.872000 PM","ELECTRICAL APPLIANCES","WASHING MACHINE","FRONT LOAD WM"
89802,"JIK BLEACH ORIGINAL 950ML   12",31.99,GH,FH,6,"16-JUN-26 04.56.04.124000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
89802,"JIK BLEACH ORIGINAL 950ML   12",31.99,GH,FH,12,"16-JUN-26 04.55.50.684000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
89802,"JIK BLEACH ORIGINAL 950ML   12",31.99,GH,FH,8,"16-JUN-26 04.55.29.885000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
91774,"INDOMIE ONION CHICKEN BELLE FU NOODLES 280G 18",18.59,12,COLLINS,22,"16-JUN-26 04.55.56.229000 PM",SUPERMARKET,"FOOD CUPBOARD","NOODLES AND SOUP"
83925,"TOP CHOCO ON -THE -GO 80G 24",9.99,25,DEEPAK,49,"16-JUN-26 04.59.11.384000 PM",SUPERMARKET,"FOOD CUPBOARD",CONFECTIONERY
89866,"SHINE FACIAL TISSUE LARGE (150PCS)  36",12.99,T,MANOJ,2,"16-JUN-26 05.05.42.266000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
89866,"SHINE FACIAL TISSUE LARGE (150PCS)  36",12.99,33,EKD,1,"16-JUN-26 04.45.57.731000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
89868,"SHINE FACIAL TISSUE BOUTIQUE (100PCS)  36",10.99,T,MANOJ,2,"16-JUN-26 05.05.28.130000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
89868,"SHINE FACIAL TISSUE BOUTIQUE (100PCS)  36",10.99,T,MANOJ,1,"16-JUN-26 05.05.12.553000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
84633,"COAT STAND METAL YWU",119,6,AKORFA,12,"16-JUN-26 05.14.05.877000 PM","HOUSEWARE & KITCHENWARE",LAUNDARY,"CLOTH DRYER"
92276,"AIRPORT CHAIR 3SEATER 180X66X79CM B503",1490,6,AKORFA,1,"16-JUN-26 05.04.07.944000 PM",FURNITURE,"OFFICE  STUDY AND COMPUTER TABLES AND BOOKCASE","CHAIRS OFFICE AND STUDY"
72676,"DEVA SCOURING POWDER LIME 500GMS * 24",24.99,6,AKORFA,9,"16-JUN-26 04.46.13.647000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
72788,"HEAVEN MOSQUITO COILS 60 PACKETS",19.99,GH,FH,7,"16-JUN-26 04.53.58.917000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
69470,"CADBURY HOT CHOCO DRINK 3IN1 360G  8",44.99,12,COLLINS,17,"16-JUN-26 04.49.24.958000 PM",SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
78483,"BABY POTTY VOLK DESIGN BLUE/PINK  N305",69,6,AKORFA,2,"16-JUN-26 04.48.35.237000 PM","HOUSEWARE & KITCHENWARE",BATHROOM,"BATHROOM TOILET SEAT / BABY POTTY BATH TUB"
69807,"SHINE FAMILY DELUXE NAPKINS (30PKX50PCS)  30",11.49,T,MANOJ,10,"16-JUN-26 05.04.48.565000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
78798,"CHOPPING BOARD 22X32X13CM BAMBOO YWU",24.9,T,MANOJ,1,"16-JUN-26 05.11.53.666000 PM","HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD","CHOPPING BOARDS AND CHOPPERS"
78798,"CHOPPING BOARD 22X32X13CM BAMBOO YWU",24.9,100,SUKHEN,1,"16-JUN-26 04.53.33.101000 PM","HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD","CHOPPING BOARDS AND CHOPPERS"
74900,"VOLTPLUS UNIVERSAL ADAPTOR W/BS PLUG VP-UA134",109,6,AKORFA,98,"16-JUN-26 05.01.12.823000 PM","ELECTRICAL APPLIANCES",ELECTRICALS,"ELE ACCESSORIES"
66683,"EVP COLORED DISPO. 2LAYER CUPS 500CC(50PX20)  20",46.99,T,MANOJ,50,"16-JUN-26 05.10.55.063000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
80162,"TISSUE HOLDER SUCTION R5080 RJK",79,6,AKORFA,14,"16-JUN-26 04.49.42.290000 PM","HOUSEWARE & KITCHENWARE",BATHROOM,"BATHROOM SHELF RACKS HOLDERS"
71863,"BIC FLEX 3 COMFORT STICK 3BLADE ( 3 BLISTER )   10",95.99,6,AKORFA,8,"16-JUN-26 04.57.20.639000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","FEMININE CARE"
81328,"TASTY TOM TOMATO MIX SACHET 200G  24",10.99,12,COLLINS,5,"16-JUN-26 04.56.30.823000 PM",SUPERMARKET,"FOOD CUPBOARD",CONDIMENTS
67728,"PEPSODENT TRIPLE ACTION TOOTH PASTE 140G 72",22.99,6,AKORFA,5,"16-JUN-26 04.55.59.617000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","ORAL CARE"
67999,"EVP COFFEE CUP CLEAR 80CC SINGLE LAYER (20X100) 20",13.49,T,MANOJ,3,"16-JUN-26 05.11.17.288000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
