SHOP_CODE,ITEM_CODE,AUDIT_QTY,GROUP,SUB-GROUP
MKL,02247,0,"HOME AND PERSONAL CARE","PERSONAL WASH"
MKL,02387,50,"FOOD CUPBOARD",BISCUITS
MKL,02391,0,"FOOD CUPBOARD",SNACKS
MKL,00359,0,"FOOD CUPBOARD","CANNED FOOD"
MKL,00361,0,"FOOD CUPBOARD","CANNED FOOD"
MKL,00362,30,"FOOD CUPBOARD","CANNED FOOD"
MKL,00363,14,"FOOD CUPBOARD","CANNED FOOD"
MKL,00376,0,BEVERAGES,JUICE
MKL,00380,0,BEVERAGES,JUICE
MKL,00453,0,"BEVERAGES ALCOHOLIC",WINES
MKL,00521,0,ELECTRICALS,AVR/AVS
MKL,00522,0,ELECTRICALS,AVR/AVS
MKL,00529,0,ELECTRICALS,AVR/AVS
MKL,00869,0,BEVERAGES,"DRINKING POWDERS"
MKL,00940,60,"BEVERAGES ALCOHOLIC",LIQUER
MKL,01853,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
MKL,02572,0,BEVERAGES,JUICE
MKL,02865,2,ELECTRICALS,"ELE ACCESSORIES"
MKL,03076,15,"FOOD CUPBOARD","BREAKFAST CEREALS"
MKL,03077,0,"FOOD CUPBOARD","BREAKFAST CEREALS"
MKL,03471,0,BEVERAGES,DRINKS
MKL,03473,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,03561,0,"HOME DECOR",XMAS
MKL,03616,0,"HOME AND PERSONAL CARE",DISPOSABLE
MKL,03645,0,"FOOD CUPBOARD","MILK AND CREAMERS"
MKL,03826,0,"FOOD CUPBOARD","SPREADS AND TOPPING"
MKL,04949,3,"HOME AND PERSONAL CARE",DISPOSABLE
MKL,05112,65,"FOOD CUPBOARD","NOODLES AND SOUP"
MKL,05124,0,LIGHTING/LAMPS,"TORCH/ LANTERN"
MKL,04421,0,KETTLE,"PLASTIC KETTLE"
MKL,04641,0,"MELAMINE WARE","MEL BOWL/BOWL+COVER"
MKL,04142,1,"HOME AND PERSONAL CARE",DISPOSABLE
MKL,04199,58,"HOME AND PERSONAL CARE","SKIN CARE"
MKL,08007,0,BEVERAGES,DRINKS
MKL,08026,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,05200,0,"HOME AND PERSONAL CARE",FRAGRANCES
MKL,06432,0,"BEVERAGES ALCOHOLIC",WINES
MKL,06556,0,"DISH CLOTHS AND NAPKINS","KITCHEN NAPKIN AND TOWELS"
MKL,06571,0,"FOOD CUPBOARD","SPICES AND HERBS"
MKL,06744,0,"FOOD CUPBOARD","DRINKING POWDER"
MKL,06966,0,"BEVERAGES ALCOHOLIC","COGNAC / BRANDY"
MKL,06968,0,"BEVERAGES ALCOHOLIC",LIQUER
MKL,06969,0,"BEVERAGES ALCOHOLIC",WINES
MKL,06975,0,"FOOD CUPBOARD",CONDIMENTS
MKL,07013,80,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,07014,1,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,07015,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,07023,0,"HOME AND PERSONAL CARE","FEMININE CARE"
MKL,07498,0,DINNERWARE,BOWLS
MKL,07979,35,"FOOD CUPBOARD","MILK AND CREAMERS"
MKL,08571,0,BEVERAGES,JUICE
MKL,08576,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
MKL,09134,0,"FOOD CUPBOARD",CONDIMENTS
MKL,09224,0,"HOME AND PERSONAL CARE","FEMININE CARE"
MKL,09226,0,"HOME AND PERSONAL CARE","FEMININE CARE"
MKL,08736,0,"FOOD CUPBOARD","PEPPER SAUCE"
MKL,08759,0,"FOOD CUPBOARD","MILK AND CREAMERS"
MKL,08763,0,BEVERAGES,DRINKS
MKL,08770,0,BEVERAGES,DRINKS
MKL,08772,0,BEVERAGES,DRINKS
MKL,08813,0,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
MKL,08833,0,"HOME AND PERSONAL CARE","LAUNDRY CARE"
MKL,08353,0,BEVERAGES,DRINKS
MKL,08473,0,"BEVERAGES ALCOHOLIC",WINES
MKL,100657,0,"KITCHEN TOOLS AND CULTARY","COOKING TOOL LADLES AND SERVERS"
MKL,100658,0,"KNIFE AND CHOPPING BOARD",CUTTERS
MKL,100666,0,"KITCHEN TOOLS AND CULTARY","COOKING TOOL LADLES AND SERVERS"
MKL,100687,0,LAUNDARY,"LAUNDRY BASKET/ITEMS"
MKL,09345,0,"BEVERAGES ALCOHOLIC",WINES
MKL,09915,52,"FOOD CUPBOARD",CONDIMENTS
MKL,100030,50,"FOOD CUPBOARD","RAW RICE"
MKL,100031,0,"FOOD CUPBOARD","RAW RICE"
MKL,100046,0,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
MKL,100048,0,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
MKL,100140,0,DINNERWARE,BOWLS
MKL,100245,0,"BED SHEET","KING SIZE BEDSHEET"
MKL,100246,13,"BED SHEET","QUEEN SIZE BEDSHEET"
MKL,100504,0,"BEVERAGES ALCOHOLIC",WINES
MKL,100505,25,"BEVERAGES ALCOHOLIC",WINES
MKL,100506,0,"BEVERAGES ALCOHOLIC",WINES
MKL,100968,0,CURTAINS,"GROMMET CURTAINS"
MKL,100969,0,CURTAINS,"GROMMET CURTAINS"
MKL,100981,0,CURTAINS,"GROMMET CURTAINS"
MKL,100983,0,CURTAINS,"GROMMET CURTAINS"
MKL,100984,0,CURTAINS,"GROMMET CURTAINS"
MKL,100985,0,CURTAINS,"GROMMET CURTAINS"
MKL,100986,0,CURTAINS,"GROMMET CURTAINS"
MKL,101010,0,CURTAINS,"GROMMET CURTAINS"
MKL,101386,0,"FOOD CUPBOARD",CONDIMENTS
MKL,101422,0,"KNIFE AND CHOPPING BOARD","VEG AND FRUIT SLICERS"
MKL,101013,0,CURTAINS,"GROMMET CURTAINS"
MKL,101016,0,CURTAINS,"GROMMET CURTAINS"
MKL,101017,13,CURTAINS,"GROMMET CURTAINS"
