ITEM_CODE,ITEM_NAME,PRICE,DEPT,GROUPS,SUBGROUPS,ERP_QTY,AUDIT_QTY,DIFF,"DIFF VALUE",ZONES,PHYSICAL_QTY
125281,"DZIRE TV BRACKET 26""-55""  TB2655F-9212S",65,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",7,0,-7,-455,,
172100,"SKYVEST LED TV 43"" SATELLITE 43S ORV",3049,"ELECTRONICS & TELECOM","LED TV","SATELLITE TV",1,0,-1,-3049,,
88248,"LG LED TV 43"" SATELLITE 43LK5100PVB/43LM5500",5999,"ELECTRONICS & TELECOM","LED TV","SATELLITE TV",1,0,-1,-5999,,
197397,"LG LED TV 50"" SMART UHD 4K 50UA85006LA",10999,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-10999,,
88232,"AKAI HOME THEATRE SYSTEM 2.1CH SS055A-C641",1899,"ELECTRONICS & TELECOM",AUDIO,"HOME THEATRE",2,0,-2,-3798,,
87294,"HUAWEI MOBILE Y7 2018 SCREEN PROTECTOR",29,"ELECTRONICS & TELECOM","MOBILE ACCESSORIES","MOBILE COVERS/SCREEN PROTECTORS",2,0,-2,-58,,
202224,"LG LED TV 55"" SAT SMART UHD 55UA85006LA",10499,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-10499,,
184293,"LG LED TV 43 SAT SMART 43LR60006LA",5999,"ELECTRONICS & TELECOM","LED TV","SMART TV",2,0,-2,-11998,,
166955,"BRUHM LED TV 32"" SAT BTF-32S",2499,"ELECTRONICS & TELECOM","LED TV","SATELLITE TV",2,0,-2,-4998,,
169320,"AKAI HIFI SPEAKER 40W RECHAR W/LMIC HT028A-2614",1399,"ELECTRONICS & TELECOM",AUDIO,"HI-FI SPEAKER SYSTEM",3,0,-3,-4197,,
179511,"DZIRE HOME THEATRE 2.1CH 53W HT212S-IM2023",1049,"ELECTRONICS & TELECOM",AUDIO,"HOME THEATRE",1,0,-1,-1049,,
80082,"AKAI HOME THEATRE SYSTEM 5.1CH HT020A-MF93 28W+12X",1699,"ELECTRONICS & TELECOM",AUDIO,"HOME THEATRE",1,0,-1,-1699,,
120683,"DAEWOO TV BRACKET 32-55"" W/TILT DE-TVB1069",88,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",8,0,-8,-704,,
107210,"DZIRE BLUETOOTH SPEAKER W/USB/FM/TF CARD PS-396",119,"ELECTRONICS & TELECOM",AUDIO,"PORTABLE/BT SPEAKER",18,0,-18,-2142,,
161248,"DZIRE HOME THEATRE SYSTEM 3.1CH 60W HT313S-6030",739,"ELECTRONICS & TELECOM",AUDIO,"HOME THEATRE",1,0,-1,-739,,
196274,"SAMSUNG LED TV 32"" SAT SMART UA32H5000",3989,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-3989,,
169319,"DZIRE HIFI SPEAKER 40W RECHA W/L MIC HIFI8DR-M2801",1299,"ELECTRONICS & TELECOM",AUDIO,"HI-FI SPEAKER SYSTEM",2,0,-2,-2598,,
184294,"LG LED TV 65 SAT SMART UHD 4K 65UT73006LA",12499,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-12499,,
179510,"AKAI SOUND BAR W/SUBWOOFER 180W SB005A-013",1399,"ELECTRONICS & TELECOM",AUDIO,"SOUND BAR",1,0,-1,-1399,,
106024,"SAMSUNG LED TV 32"" SAT SMART UA32T5300",3689,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-3689,,
192931,"AKAI QLED TV 43"" 2K SMART LT-4309T2S2QSMT",3499,"ELECTRONICS & TELECOM","LED TV",OLED/QLED,1,0,-1,-3499,,
153593,"AKAI LED TV 55"" SAT SMART UHD WEBOS LT-5506T2S2SMT",6579,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-6579,,
86312,"SAMSUNG BACK COVER J4 32GB",2,"ELECTRONICS & TELECOM","MOBILE ACCESSORIES","MOBILE COVERS/SCREEN PROTECTORS",2,0,-2,-4,,
