ITEM_CODE,ITEM_NAME,PRICE,DEPT,GROUPS,SUBGROUPS,ERP_QTY,AUDIT_QTY,DIFF,"DIFF VALUE",ZONES,PHYSICAL_QTY
80326,"CAR CHARGER USB 8 IN 1",54,"ELECTRONICS & TELECOM","CAR AUDIO AND VIDEO","CAR ELECTRONIC ACCESSORIES",1,0,-1,-54,,
125282,"DZIRE TV BRACKET W/TILT 26""-50"" TB2650T-P1102",89,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",15,0,-15,-1335,,
188884,"TECNO MOBILE SPARK 40 4GB/128GB KM5",1799,"ELECTRONICS & TELECOM","MOBILE PHONES AND TABLETS","SMART MOBILE",2,0,-2,-3598,,
138785,"LG LED TV 32"" SMART 32LQ630B6LB/32LQ600BPTA",4079,"ELECTRONICS & TELECOM","LED TV","SMART TV",1,0,-1,-4079,,
162807,"NASCO LED TV 32"" SAT NAS-J32FBFL/B32FBFL",1619,"ELECTRONICS & TELECOM","LED TV","SATELLITE TV",5,0,-5,-8095,,
125285,"DZIRE DVD BRACKET 350X250MM TBDVDS-Q10",199,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",4,0,-4,-796,,
125283,"DZIRE TV BRACKET W/TILT 32""- 65"" TB3265T-P1103",149,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",10,0,-10,-1490,,
190163,"TCL QLED TV 50"" SMART 2K 50S5K",5199,"ELECTRONICS & TELECOM","LED TV",OLED/QLED,1,0,-1,-5199,,
157091,"AKAI HOME THEATRE SYSTEM 2.1CH HT026A-646",1699,"ELECTRONICS & TELECOM",AUDIO,"HOME THEATRE",1,0,-1,-1699,,
125284,"DZIRE TV BRACKET FULL MOTION 26""-50"" TB2650FU-43P",189,"ELECTRONICS & TELECOM","VIDEO ACCESSORIES","TV BRACKET AND ACCESSORIES",4,0,-4,-756,,
